"","bweight"
"1",2.52
"2",3.72
"3",2.94
"4",4.6
"5",3.03
"6",4.37
"7",3.29
"8",3.32
"9",2.92
"10",3.4
"11",3.37
"12",3.46
"13",3.46
"14",4.05
"15",3.32
"16",3.37
"17",2.98
"18",2.98
"19",3.46
"20",3.49
"21",3.18
"22",2.81
"23",3.63
"24",2.64
"25",3.52
"26",4.24
"27",2.89
"28",3.15
"29",3
"30",4.37
"31",4.42
"32",2.89
"33",3.94
"34",2.92
"35",4.37
"36",4.37
"37",3.2
"38",2.86
"39",3.37
"40",3.52
"41",4
"42",3.36
"43",3.4
"44",4.25
"45",2.92
"46",4.38
"47",2.55
"48",3.63
"49",3.35
"50",2.81
"51",3.03
"52",3.29
"53",2.3
"54",3.69
"55",2.86
"56",3.01
"57",3.29
"58",3.4
"59",3.2
"60",3.12
"61",2.39
"62",4.31
"63",3.57
"64",3.29
"65",3.23
"66",3.77
"67",3.06
"68",3.43
"69",3.94
"70",4
"71",2.41
"72",3.09
"73",2.61
"74",4.37
"75",3.83
"76",3.29
"77",3.71
"78",3.12
"79",3.71
"80",3.09
"81",4.05
"82",3.69
"83",3.52
"84",3.66
"85",3.29
"86",4.08
"87",3.15
"88",2.69
"89",3.46
"90",3.35
"91",3.57
"92",2.69
"93",2.86
"94",3.66
"95",3.49
"96",3.43
"97",4.09
"98",4.03
"99",4.03
"100",3.28
"101",2.7
"102",2.72
"103",3.2
"104",2.98
"105",3.43
"106",3.2
"107",3.29
"108",3.49
"109",3.43
"110",3.24
"111",3.74
"112",3.52
"113",2.69
"114",3.3
"115",3.69
"116",3.46
"117",2.07
"118",3.32
"119",3.18
"120",3.66
"121",3.23
"122",3.77
"123",2.77
"124",1.9
"125",2.78
"126",3.91
"127",2.81
"128",3.8
"129",3.54
"130",3.66
"131",2.81
"132",3.2
"133",3.63
"134",3.69
"135",3.32
"136",3.77
"137",4.37
"138",2.78
"139",3.63
"140",4.25
"141",3.49
"142",3.09
"143",3.94
"144",2.78
"145",2.89
"146",3
"147",3.86
"148",3.91
"149",4.4
"150",3.66
"151",3.12
"152",3.16
"153",3.91
"154",3.44
"155",2.04
"156",4.79
"157",2.92
"158",2.64
"159",3.18
"160",2.69
"161",3.91
"162",3.57
"163",3.37
"164",3.09
"165",4.11
"166",3.81
"167",3.54
"168",4
"169",4.1
"170",2.92
"171",3.54
"172",3
"173",2.64
"174",2.72
"175",3.49
"176",3.32
"177",4.37
"178",3.18
"179",3.83
"180",2.64
"181",1.93
"182",1.81
"183",3.26
"184",2.61
"185",3.06
"186",3.01
"187",4.22
"188",3.03
"189",2.86
"190",3.97
"191",3.26
"192",3.01
"193",2.78
"194",4.1
"195",4
"196",4.08
"197",3.35
"198",3.63
"199",3.09
"200",3.83
"201",3.32
"202",3.63
"203",3.94
"204",3.08
"205",3.04
"206",2.98
"207",3.4
"208",3.03
"209",3.06
"210",3.43
"211",3.09
"212",2.78
"213",3.01
"214",3.15
"215",3.78
"216",3.8
"217",4.2
"218",3.09
"219",3.4
"220",3.1
"221",3.77
"222",2.83
"223",3.88
"224",3.46
"225",3.83
"226",2.55
"227",4.19
"228",2.78
"229",3.74
"230",3.63
"231",3.12
"232",3.29
"233",3.6
"234",2.72
"235",2.92
"236",3.74
"237",3.6
"238",3.2
"239",3.06
"240",3.44
"241",3.35
"242",4
"243",3.12
"244",2.72
"245",3.7
"246",4.17
"247",3.15
"248",3.29
"249",3.4
"250",2.35
"251",3.23
"252",3.66
"253",3.29
"254",3.37
"255",2.64
"256",3.03
"257",3.63
"258",3.29
"259",3.46
"260",3.01
"261",4.45
"262",3.58
"263",3.43
"264",2.78
"265",2.98
"266",2.9
"267",3.35
"268",3.91
"269",3.04
"270",3.12
"271",2.95
"272",3.15
"273",3.37
"274",3.09
"275",3.54
"276",3.74
"277",4
"278",3.62
"279",3.18
"280",3.2
"281",3.5
"282",1.79
"283",3.18
"284",3.18
"285",2.72
"286",3.86
"287",3.8
"288",3.2
"289",3.34
"290",3.09
"291",3.05
"292",3.55
"293",4.56
"294",3.18
"295",3.29
"296",3
"297",4.39
"298",3.86
"299",3.04
"300",3.32
"301",3.63
"302",3.69
"303",3.09
"304",3.46
"305",2.38
"306",4.79
"307",3.57
"308",2.81
"309",3.71
"310",3.52
"311",2.95
"312",3.4
"313",2.58
"314",3.52
"315",3.86
"316",3.74
"317",3.4
"318",3.6
"319",2.92
"320",2.81
"321",3.74
"322",3.09
"323",3.86
"324",2.95
"325",3.52
"326",3.57
"327",2.61
"328",3.86
"329",2.98
"330",3.63
"331",2.3
"332",3.29
"333",3.77
"334",2.67
"335",3.37
"336",3.66
"337",3.57
"338",2.89
"339",3.26
"340",3.91
"341",2.95
"342",2.75
"343",3.2
"344",3.29
"345",3.52
"346",3.72
"347",3.6
"348",3.26
"349",3.63
"350",2.98
"351",3.35
"352",3.71
"353",3.26
"354",3.43
"355",3.49
"356",2.3
"357",3.01
"358",2.84
"359",3.43
"360",3.29
"361",3.4
"362",2.1
"363",2.86
"364",3.57
"365",2.41
"366",3.15
"367",3.63
"368",2.72
"369",4.05
"370",3.2
"371",3.46
"372",3.18
"373",3.29
"374",3.23
"375",3.09
"376",3.88
"377",3.35
"378",3.29
"379",3.2
"380",3.74
"381",3.3
"382",3.57
"383",4.2
"384",3.43
"385",3.6
"386",2.61
"387",3.71
"388",3.83
"389",2.24
"390",3.74
"391",3.55
"392",3.43
"393",3.83
"394",3.74
"395",4.82
"396",4.37
"397",3.44
"398",3.86
"399",3.63
"400",3.49
"401",3.23
"402",2.81
"403",3.43
"404",4.03
"405",3.43
"406",3.71
"407",2.21
"408",2.98
"409",3.26
"410",2.61
"411",3.26
"412",3.67
"413",3.11
"414",2.98
"415",2.92
"416",3.06
"417",3.01
"418",4.31
"419",3.01
"420",3.91
"421",2.39
"422",2.69
"423",3.06
"424",2.35
"425",3.3
"426",3
"427",3.2
"428",2.89
"429",3.32
"430",3.09
"431",3.6
"432",4
"433",4.05
"434",2.87
"435",3.01
"436",3.35
"437",3.69
"438",3.2
"439",2.92
"440",3.6
"441",3.26
"442",3.68
"443",2.27
"444",3.37
"445",2.86
"446",2.72
"447",2.44
"448",3.66
"449",3.4
"450",4.2
"451",3.35
"452",3.18
"453",3.37
"454",4.08
"455",3.32
"456",3.71
"457",3.29
"458",2.95
"459",3.26
"460",3.43
"461",3.09
"462",2.89
"463",1
"464",3.3
"465",2.72
"466",3.29
"467",3.8
"468",3.23
"469",3.57
"470",3.29
"471",4.05
"472",3.09
"473",2.38
"474",3.77
"475",3.8
"476",3.09
"477",3.57
"478",4
"479",2.92
"480",3.4
"481",3.52
"482",3.18
"483",3.32
"484",2.89
"485",3.14
"486",3.37
"487",4.14
"488",2.86
"489",3.26
"490",3.94
"491",4
"492",3.57
"493",3.66
"494",3.66
"495",3.46
"496",3.46
"497",3.52
"498",3.13
"499",3
"500",4.14
"501",3.97
"502",3.23
"503",3.63
"504",2.01
"505",2.95
"506",2.89
"507",3.37
"508",3.2
"509",3.2
"510",3.52
"511",3.15
"512",2.24
"513",3.54
"514",3.15
"515",3.52
"516",3.12
"517",4.22
"518",3.6
"519",3.74
"520",3.2
"521",3.03
"522",2.61
"523",2.9
"524",3.91
"525",3.46
"526",3.06
"527",3.97
"528",3.32
"529",3.52
"530",3.74
"531",3.2
"532",4.29
"533",3.03
"534",3.91
"535",3.2
"536",3.54
"537",1.22
"538",3.29
"539",3.77
"540",2.21
"541",1.67
"542",1.13
"543",3.94
"544",3.7
"545",3.01
"546",3.2
"547",2.44
"548",3.09
"549",3.01
"550",3.12
"551",3.49
"552",3.23
"553",4.22
"554",3.88
"555",3.54
"556",0.74
"557",2.58
"558",3.03
"559",3.15
"560",3.6
"561",3.4
"562",3.46
"563",3.46
"564",3.03
"565",3.37
"566",4.5
"567",3.45
"568",4.14
"569",3.69
"570",3.2
"571",3.71
"572",3.97
"573",3.46
"574",2.75
"575",2.72
"576",3.37
"577",3.75
"578",1.67
"579",4.2
"580",3.29
"581",3.52
"582",3.49
"583",2.47
"584",2.27
"585",4.73
"586",3.43
"587",2.75
"588",2.84
"589",2.64
"590",3.43
"591",2.98
"592",3.18
"593",2.32
"594",2.95
"595",1.36
"596",3.6
"597",4.17
"598",3.69
"599",3.09
"600",2.49
"601",3.71
"602",3.2
"603",2.96
"604",3.06
"605",3.57
"606",3.18
"607",3.77
"608",4.14
"609",3.37
"610",1.84
"611",3.46
"612",3.66
"613",3.12
"614",3.18
"615",3.52
"616",3.74
"617",3.49
"618",3.01
"619",4
"620",3.4
"621",2.89
"622",3.29
"623",3.29
"624",3.86
"625",3.4
"626",4.28
"627",4.11
"628",2.44
"629",4
"630",3.97
"631",3.37
"632",2.69
"633",4.17
"634",3.2
"635",3.18
"636",3.06
"637",1.9
"638",4.14
"639",3.86
"640",2.78
"641",3.49
"642",3.35
"643",3.86
"644",3.12
"645",2.64
"646",2.86
"647",3.43
"648",3.91
"649",4.05
"650",3.54
"651",3.18
"652",2.38
"653",3.29
"654",3.46
"655",3.74
"656",3.32
"657",3.01
"658",3.29
"659",3.29
"660",3.37
"661",3.63
"662",3.29
"663",3.35
"664",3.52
"665",2.3
"666",3.09
"667",3.06
"668",3.2
"669",3.43
"670",3.09
"671",4.42
"672",3.71
"673",3.66
"674",3.66
"675",3.26
"676",4.28
"677",3.18
"678",3.01
"679",2.86
"680",3.6
"681",3.63
"682",2.44
"683",3.06
"684",4.31
"685",3.46
"686",3.29
"687",3.09
"688",2.1
"689",3.63
"690",3.76
"691",3.46
"692",3.32
"693",4.51
"694",2.72
"695",4.42
"696",3.26
"697",3.94
"698",3.23
"699",3.06
"700",3.4
"701",3.6
"702",2.13
"703",2.94
"704",3.54
"705",3.02
"706",2
"707",2.41
"708",2.6
"709",3.26
"710",3.12
"711",2.01
"712",3.49
"713",2.96
"714",3.91
"715",3.43
"716",3.49
"717",2.61
"718",3.57
"719",3.26
"720",3.83
"721",2.84
"722",3.97
"723",3.63
"724",3.06
"725",3.97
"726",2.75
"727",2.89
"728",3.15
"729",3.97
"730",3.77
"731",3.18
"732",3.57
"733",3.69
"734",3.46
"735",1.59
"736",3.63
"737",3.71
"738",3.63
"739",1.87
"740",3.01
"741",3.66
"742",3.57
"743",4.54
"744",3.88
"745",2.66
"746",3.37
"747",2.78
"748",4.54
"749",1.08
"750",4.11
"751",2.21
"752",2.69
"753",3.83
"754",2.35
"755",3.4
"756",3.54
"757",3.43
"758",3.26
"759",2.41
"760",3.26
"761",3.57
"762",3.32
"763",4.68
"764",4.17
"765",3.58
"766",2.9
"767",3.2
"768",3.09
"769",2.86
"770",3.01
"771",4.14
"772",4.25
"773",3.43
"774",3.57
"775",3.86
"776",3.86
"777",4.05
"778",2.89
"779",3.4
"780",3.09
"781",3.15
"782",3.69
"783",3.2
"784",3.63
"785",3.18
"786",2.84
"787",3.26
"788",3.74
"789",3.88
"790",4.22
"791",2.75
"792",3.37
"793",4.31
"794",4.51
"795",3.83
"796",3.57
"797",2.72
"798",2.86
"799",1.79
"800",3.23
"801",2.95
"802",4.02
"803",3.83
"804",3.49
"805",3.97
"806",4.37
"807",3.63
"808",3.23
"809",4.65
"810",3.71
"811",3.26
"812",3.06
"813",2.81
"814",1.45
"815",3.71
"816",3.57
"817",3.49
"818",2.52
"819",4.08
"820",3.57
"821",4.28
"822",3.37
"823",NA
"824",3.66
"825",3.86
"826",3.23
"827",3.35
"828",3.15
"829",3.2
"830",2.84
"831",2.66
"832",3.12
"833",2.92
"834",4
"835",3.94
"836",4.31
"837",3.69
"838",3.23
"839",2.24
"840",3.71
"841",4.08
"842",3.06
"843",3.91
"844",3.57
"845",3.32
